BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t2041,12569.978256113909,6.799108076706918e-6,-3628.9782629614056,0.0,0.0,4.873074672090693e-8,-3.419288034786401e-10,0.0,0.0,-8941.0
t2042,12207.899455522847,6.785574052700888e-6,-3563.899462356813,0.0,0.0,4.87345746042767e-8,-3.4180807157451965e-10,0.0,0.0,-8644.0
t2043,9378.1143610544,6.740324523893641e-6,-859.1143678431197,0.0,0.0,4.873840773340379e-8,-3.41687185434632e-10,0.0,0.0,-8519.0
t2044,7883.38213813164,650.6178662196163,-4.403073184313262e-6,0.0,0.0,5.205919829655103e-8,-2.4100974500724944e-10,0.0,0.0,-8534.0
t2045,8289.091181041686,519.9088232936814,-4.387194594568089e-6,0.0,0.0,5.206777705674314e-8,-2.40759778260482e-10,0.0,0.0,-8809.0
t2046,9599.095577306703,61.90442702969309,-4.388226273672446e-6,0.0,0.0,5.206777714985288e-8,-2.4075977582628755e-10,0.0,0.0,-9661.0
t2047,9493.095402071554,1704.9046021891781,-4.3125798696974085e-6,0.0,0.0,5.208497310675125e-8,-2.4025887411478363e-10,0.0,0.0,-11198.0
t2048,7910.838841994202,4132.161158263892,-3.3436545683520284e-7,0.0,0.0,7.596978423716963e-8,3.0003272387579975e-10,0.0,0.0,-12043.0
t2049,9271.673619608588,2868.3263846843847,-4.344800917791874e-6,0.0,0.0,5.206777722607235e-8,-2.407597741937356e-10,0.0,0.0,-12140.0
t2050,9453.05170395226,2655.9483003397095,-4.343797981267921e-6,0.0,0.0,5.2067777151140865e-8,-2.407597763709941e-10,0.0,0.0,-12109.0
t2051,9560.735208236081,2514.264796053965,-4.341872991552447e-6,0.0,0.0,5.206777715272806e-8,-2.4075977631828067e-10,0.0,0.0,-12075.0
t2052,9695.377375943388,2299.622628343425,-4.3386430984413445e-6,0.0,0.0,5.206777695690412e-8,-2.407597820082324e-10,0.0,0.0,-11995.0
t2053,9734.014691276554,2087.985313005244,-4.333626680628986e-6,0.0,0.0,5.206777714617058e-8,-2.4075977646001864e-10,0.0,0.0,-11822.0
t2054,9832.021920557829,1820.9780837166088,-4.326266366314889e-6,0.0,0.0,5.206777714731672e-8,-2.407597763924932e-10,0.0,0.0,-11653.0
t2055,9867.837420439999,1537.1625838241218,-4.315950620909062e-6,0.0,0.0,5.2067777136625314e-8,-2.40759776652068e-10,0.0,0.0,-11405.0
t2056,9968.225824531699,1270.7741797185115,-4.302040223392655e-6,0.0,0.0,5.206777714270225e-8,-2.407597764389835e-10,0.0,0.0,-11239.0
t2057,10188.746613864108,1033.2533903679437,-4.283881750744706e-6,0.0,0.0,5.206777714972979e-8,-2.407597762304875e-10,0.0,0.0,-11222.0
t2058,10551.943952405398,827.0560518035965,-4.260823995693703e-6,0.0,0.0,5.206777714912651e-8,-2.407597762822715e-10,0.0,0.0,-11379.0
t2059,10680.407829194835,871.5921749855947,-4.2322573891095015e-6,0.0,0.0,5.206777720423001e-8,-2.4075977471345294e-10,0.0,0.0,-11552.0
t2060,11112.111227085315,1138.8887770605447,-4.197690090795577e-6,0.0,0.0,5.206777721528823e-8,-2.4075977452869625e-10,0.0,0.0,-12251.0
t2061,11735.650825198909,459.349178906121,-4.156857072713622e-6,0.0,0.0,5.2067777167340754e-8,-2.4075977591521397e-10,0.0,0.0,-12195.0
t2062,11097.743587315666,351.2564167423534,-4.109848340689429e-6,0.0,0.0,5.206777713333151e-8,-2.4075977675740904e-10,0.0,0.0,-11449.0
t2063,9960.887352497279,392.11265150811727,-4.057224762091175e-6,0.0,0.0,5.2067777132929266e-8,-2.407597765118562e-10,0.0,0.0,-10353.0
t2064,9053.251959197078,297.7480428934331,-2.142338993132381e-6,0.0,0.0,5.206777706805882e-8,-2.4075977811387663e-10,0.0,0.0,-9351.0
t2065,9415.250551633606,4.843410405982977e-6,-689.2505565232399,0.0,0.0,4.663287025247925e-8,-4.098096191852264e-10,0.0,0.0,-8726.0
t2066,10391.934890323235,1.9149237653216746e-5,-2013.934909518691,0.0,0.0,4.6629743795628e-8,-4.099133926143793e-10,0.0,0.0,-8378.0
t2067,11869.959113317582,1.9283958642293407e-5,-3653.9591326477594,0.0,0.0,4.6630784601596515e-8,-4.0987884517168765e-10,0.0,0.0,-8216.0
t2068,11507.880299627854,1.9421197217869046e-5,-3344.8803190952704,0.0,0.0,4.6631826750313704e-8,-4.09844254083025e-10,0.0,0.0,-8163.0
t2069,11788.259258189079,1.9561017943189992e-5,-3403.259277796317,0.0,0.0,4.66328702400637e-8,-4.0980961947406013e-10,0.0,0.0,-8385.0
t2070,12042.642816592615,1.9630707672388124e-5,-2851.6428362695483,0.0,0.0,4.663391507823562e-8,-4.097749411870671e-10,0.0,0.0,-9191.0
t2071,12365.728515514162,1.9692741420011554e-5,-1659.7285352531314,0.0,0.0,4.6634961263102923e-8,-4.097402192225463e-10,0.0,0.0,-10706.0
t2072,13483.033392441099,1.9748101107907377e-5,-1898.0334122354272,0.0,0.0,4.663600878414459e-8,-4.0970545358272905e-10,0.0,0.0,-11585.0
t2073,13875.512567403022,1.9796602955930086e-5,-2123.5125872458543,0.0,0.0,4.6637057646502044e-8,-4.0967064416512787e-10,0.0,0.0,-11752.0
t2074,15504.291795157556,1.9837520859471236e-5,-3731.2918150413066,0.0,0.0,4.663810785486086e-8,-4.0963579094421003e-10,0.0,0.0,-11773.0
t2075,16017.648852775443,1.9869639324807744e-5,-4171.648872691311,0.0,0.0,4.663915941391453e-8,-4.0960089380589015e-10,0.0,0.0,-11846.0
t2076,16485.890775098815,1.9891114096946622e-5,-4628.890795036157,0.0,0.0,4.664021232398082e-8,-4.095659527214512e-10,0.0,0.0,-11857.0
t2077,15983.750824293053,1.9899123033245715e-5,-4183.75084423841,0.0,0.0,4.6641266587644446e-8,-4.0953096760749155e-10,0.0,0.0,-11800.0
