BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1345,32281.68370505235,17506.316297864785,-2.9704595312617586e-6,0.0,0.0,5.3532305998004547e-8,-1.9881318467865417e-10,0.0,0.0,-49788.0
t1346,32006.271082865806,16277.728920050675,-2.9698029285859168e-6,0.0,0.0,5.353230599567831e-8,-1.9881318472652432e-10,0.0,0.0,-48284.0
t1347,32174.891055931777,15267.108946983608,-2.9687266615316505e-6,0.0,0.0,5.353230599339027e-8,-1.9881318478059167e-10,0.0,0.0,-47442.0
t1348,32034.37441167914,15132.62559123455,-2.9670141668213107e-6,0.0,0.0,5.353230599108356e-8,-1.9881318484207629e-10,0.0,0.0,-47167.0
t1349,31710.249352182334,15620.750650728676,-2.964346779827576e-6,0.0,0.0,5.353230598881451e-8,-1.9881318490803277e-10,0.0,0.0,-47331.0
t1350,31618.44514403414,16372.554858872794,-2.9602674082664408e-6,0.0,0.0,5.353230598676448e-8,-1.988131849739418e-10,0.0,0.0,-47991.0
t1351,31395.49206757044,18050.507935330374,-2.9541456001881794e-6,0.0,0.0,5.353230598504502e-8,-1.9881318503962754e-10,0.0,0.0,-49446.0
t1352,31528.51448868342,20038.48551420841,-2.9451630858000917e-6,0.0,0.0,5.3532305983820014e-8,-1.9881318509755283e-10,0.0,0.0,-51567.0
t1353,30221.481323860964,22654.518677439657,-1.3539581063046544e-6,0.0,0.0,5.353230598217124e-8,-1.988131851574991e-10,0.0,0.0,-52876.0
t1354,61470.476148366804,4.605140719720453e-6,-8060.476153018064,0.0,0.0,4.652770194839094e-8,-4.1330474203809675e-10,0.0,0.0,-53410.0
t1355,84875.74205437963,2.1578605770292932e-5,-32439.742076004346,0.0,0.0,4.652770194538551e-8,-4.133047421289202e-10,0.0,0.0,-52436.0
